Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Harford County, MD",US,03/23/2020,,,,39.5839,-76.3637
"Hendricks County, IN",US,03/23/2020,,,,39.8065,-86.5401
"Hudson County, NJ",US,03/23/2020,,,,40.7453,-74.0535
"Johnson County, KS",US,03/23/2020,,,,38.8454,-94.8521
"Kittitas County, WA",US,03/23/2020,,,,47.175,-120.9319
"Manatee County, FL",US,03/23/2020,,,,27.4799,-82.3452
"Marion County, OR",US,03/23/2020,,,,44.8446,-122.5927
"Okaloosa County, FL",US,03/23/2020,,,,30.5773,-86.6611
"Polk County, GA",US,03/23/2020,,,,34.0132,-85.1479
"Riverside County, CA",US,03/23/2020,,,,33.9533,-117.3961
"Shelby County, TN",US,03/23/2020,,,,35.1269,-89.9253
"St. Louis County, MO",US,03/23/2020,,,,38.6103,-90.4125
"Suffolk County, NY",US,03/23/2020,,,,40.9849,-72.6151
"Ulster County, NY",US,03/23/2020,,,,41.8586,-74.3118
"Volusia County, FL",US,03/23/2020,,,,29.028,-81.0755
"Fairfax County, VA",US,03/23/2020,,,,38.9085,-77.2405
"Rockingham County, NH",US,03/23/2020,,,,42.9931,-71.0498
"Washington, D.C.",US,03/23/2020,,,,38.9072,-77.0369
"Montgomery County, PA",US,03/23/2020,,,,40.229,-75.3879
"Alameda County, CA",US,03/23/2020,,,,37.6017,-121.7195
"Broward County, FL",US,03/23/2020,,,,26.1901,-80.3659
"Lee County, FL",US,03/23/2020,,,,26.663,-81.9535
"Pinal County, AZ",US,03/23/2020,,,,32.8162,-111.2845
"Rockland County, NY",US,03/23/2020,,,,41.1489,-73.983
"Saratoga County, NY",US,03/23/2020,,,,43.0324,-73.936
"Charleston County, SC",US,03/23/2020,,,,32.7957,-79.7848
"Clark County, WA",US,03/23/2020,,,,45.7466,-122.5194
"Cobb County, GA",US,03/23/2020,,,,33.8999,-84.5641
"Davis County, UT",US,03/23/2020,,,,40.9629,-112.0953
"El Paso County, CO",US,03/23/2020,,,,38.9108,-104.4723
"Honolulu County, HI",US,03/23/2020,,,,21.307,-157.8584
"Jackson County, OR ",US,03/23/2020,,,,42.3345,-122.7647
"Jefferson County, WA",US,03/23/2020,,,,47.7425,-123.304
"Kershaw County, SC",US,03/23/2020,,,,34.3672,-80.5883
"Klamath County, OR",US,03/23/2020,,,,42.6953,-121.6142
"Madera County, CA",US,03/23/2020,,,,37.2519,-119.6963
"Pierce County, WA",US,03/23/2020,,,,47.0676,-122.1295
"Tulsa County, OK",US,03/23/2020,,,,36.1593,-95.941
"Douglas County, CO",US,03/23/2020,,,,39.2587,-104.9389
"Providence County, RI",US,03/23/2020,,,,41.8882,-71.4774
"Chatham County, NC",US,03/23/2020,,,,35.7211,-79.1781
"Delaware County, PA",US,03/23/2020,,,,39.9078,-75.3879
"Douglas County, NE",US,03/23/2020,,,,41.3148,-96.1951
"Fayette County, KY",US,03/23/2020,,,,38.0606,-84.4803
"Marion County, IN",US,03/23/2020,,,,39.8362,-86.1752
"Middlesex County, MA",US,03/23/2020,,,,42.4672,-71.2874
"Nassau County, NY",US,03/23/2020,,,,40.6546,-73.5594
"Ramsey County, MN",US,03/23/2020,,,,44.9964,-93.0616
"Washoe County, NV",US,03/23/2020,,,,40.5608,-119.6035
"Wayne County, PA",US,03/23/2020,,,,41.6739,-75.2479
"Yolo County, CA",US,03/23/2020,,,,38.7646,-121.9018
"Santa Clara County, CA",US,03/23/2020,,,,37.3541,-121.9552
"Clark County, NV",US,03/23/2020,,,,36.0796,-115.094
"Fort Bend County, TX",US,03/23/2020,,,,29.5693,-95.8143
"Grant County, WA",US,03/23/2020,,,,47.1981,-119.3732
"Santa Rosa County, FL",US,03/23/2020,,,,30.769,-86.9824
"Williamson County, TN",US,03/23/2020,,,,35.9179,-86.8622
"New York County, NY",US,03/23/2020,,,,40.7128,-74.006
"Montgomery County, MD",US,03/23/2020,,,,39.1547,-77.2405
"Suffolk County, MA",US,03/23/2020,,,,42.3601,-71.0589
"Denver County, CO",US,03/23/2020,,,,39.7392,-104.9903
"Summit County, CO",US,03/23/2020,,,,39.5912,-106.064
"Bergen County, NJ",US,03/23/2020,,,,40.9263,-74.077
"Harris County, TX",US,03/23/2020,,,,29.7752,-95.3103
"San Francisco County, CA",US,03/23/2020,,,,37.7749,-122.4194
"Contra Costa County, CA",US,03/23/2020,,,,37.8534,-121.9018
"Orange County, CA",US,03/23/2020,,,,33.7879,-117.8531
"Norfolk County, MA",US,03/23/2020,,,,42.1767,-71.1449
"Maricopa County, AZ",US,03/23/2020,,,,33.2918,-112.4291
"Wake County, NC",US,03/23/2020,,,,35.8032,-78.5661
"Westchester County, NY",US,03/23/2020,,,,41.122,-73.7949
"Grafton County, NH",US,03/23/2020,,,,43.9088,-71.826
"Hillsborough, FL",US,03/23/2020,,,,27.9904,-82.3018
"Placer County, CA",US,03/23/2020,,,,39.0916,-120.8039
"San Mateo, CA",US,03/23/2020,,,,37.563,-122.3255
"Sonoma County, CA",US,03/23/2020,,,,38.578,-122.9888
"Umatilla, OR",US,03/23/2020,,,,45.775,-118.7606
"Fulton County, GA",US,03/23/2020,,,,33.8034,-84.3963
"Washington County, OR",US,03/23/2020,,,,45.547,-123.1386
"Snohomish County, WA",US,03/23/2020,,,,48.033,-121.8339
"Humboldt County, CA",US,03/23/2020,,,,40.745,-123.8695
"Sacramento County, CA",US,03/23/2020,,,,38.4747,-121.3542
"San Diego County, CA",US,03/23/2020,,,,32.7157,-117.1611
"San Benito, CA",US,03/23/2020,,,,36.5761,-120.9876
"Los Angeles, CA",US,03/23/2020,,,,34.0522,-118.2437
"King County, WA",US,03/23/2020,,,,47.6062,-122.3321
"Cook County, IL",US,03/23/2020,,,,41.7377,-87.6976
"Skagit, WA",US,03/23/2020,,,,48.4242,-121.7114
"Thurston, WA",US,03/23/2020,,,,46.8646,-122.7696
"Island, WA",US,03/23/2020,,,,48.1976,-122.5795
"Whatcom, WA",US,03/23/2020,,,,48.8787,-121.9719
"Marin, CA",US,03/23/2020,,,,38.0834,-122.7633
"Calaveras, CA",US,03/23/2020,,,,38.196,-120.6805
"Stanislaus, CA",US,03/23/2020,,,,37.5091,-120.9876
"San Joaquin, CA",US,03/23/2020,,,,36.6066,-120.189
"Essex, MA",US,03/23/2020,,,,42.632,-70.7829
"Charlton, GA",US,03/23/2020,,,,30.7917,-82.0843
"Collier, FL",US,03/23/2020,,,,26.07,-81.4279
"Pinellas, FL",US,03/23/2020,,,,27.8764,-82.7779
"Alachua, FL",US,03/23/2020,,,,29.7938,-82.4944
"Nassau, FL",US,03/23/2020,,,,30.5927,-81.8224
"Pasco, FL",US,03/23/2020,,,,28.3232,-82.4319
"Dallas, TX",US,03/23/2020,,,,32.7767,-96.797
"Tarrant, TX",US,03/23/2020,,,,32.7732,-97.3517
"Montgomery, TX",US,03/23/2020,,,,30.3883,-95.6963
"Middlesex, NJ",US,03/23/2020,,,,40.5726,-74.4927
"Jefferson, CO",US,03/23/2020,,,,39.58,-105.2663
"Multnomah, OR",US,03/23/2020,,,,45.5146,-122.5863
"Polk, OR",US,03/23/2020,,,,44.9267,-123.4919
"Deschutes, OR",US,03/23/2020,,,,43.8325,-121.2617
"McHenry, IL",US,03/23/2020,,,,42.3334,-88.2668
"Lake, IL",US,03/23/2020,,,,42.3689,-87.8272
"Bucks, PA",US,03/23/2020,,,,40.4108,-75.2479
"Hanover, VA",US,03/23/2020,,,,37.7772,-77.5161
"Lancaster, SC",US,03/23/2020,,,,34.7253,-80.6771
"Sullivan, TN",US,03/23/2020,,,,36.4933,-82.3452
"Johnson, IN",US,03/23/2020,,,,39.4638,-86.1345
"Howard, IN",US,03/23/2020,,,,40.4483,-86.1345
"St. Joseph, IN",US,03/23/2020,,,,41.6228,-86.3377
"Knox, NE",US,03/23/2020,,,,42.6712,-97.8722
"Stark, OH",US,03/23/2020,,,,40.8685,-81.2519
"Anoka, MN",US,03/23/2020,,,,45.3293,-93.2197
"Olmsted, MN",US,03/23/2020,,,,43.9952,-92.3814
"Summit, UT",US,03/23/2020,,,,40.8298,-110.9984
"Fairfield, CT",US,03/23/2020,,,,41.256,-73.3709
"Litchfield, CT",US,03/23/2020,,,,41.7866,-73.2765
"Orleans, LA",US,03/23/2020,,,,29.9511,-90.0715
"Pennington, SD",US,03/23/2020,,,,43.8901,-102.2548
"Beadle, SD",US,03/23/2020,,,,44.4797,-98.2213
"Charles Mix, SD",US,03/23/2020,,,,43.0985,-98.3965
"Davison, SD",US,03/23/2020,,,,43.7242,-98.2213
"Minnehaha, SD",US,03/23/2020,,,,43.6632,-96.8351
"Bon Homme, SD",US,03/23/2020,,,,42.9815,-97.8722
"Socorro, NM",US,03/23/2020,,,,33.8837,-106.7235
"Bernalillo, NM",US,03/23/2020,,,,35.0178,-106.6291
"Oakland, MI",US,03/23/2020,,,,42.5922,-83.3362
"Wayne, MI",US,03/23/2020,,,,42.2791,-83.3362
"New Castle, DE",US,03/23/2020,,,,39.5393,-75.6674
,Cuba,03/23/2020,35,1,0,22,-80
,Guyana,03/23/2020,7,1,0,5,-58.75
Australian Capital Territory,Australia,03/23/2020,19,0,0,-35.4735,149.0124
United Kingdom,United Kingdom,03/23/2020,5683,281,65,55.3781,-3.436
,Kazakhstan,03/23/2020,60,0,0,48.0196,66.9237
French Polynesia,France,03/23/2020,15,0,0,-17.6797,149.4068
Manitoba,Canada,03/23/2020,20,0,0,53.7609,-98.8139
Saskatchewan,Canada,03/23/2020,52,0,0,52.9399,-106.4509
,Ethiopia,03/23/2020,11,0,4,9.145,40.4897
,Sudan,03/23/2020,2,1,0,12.8628,30.2176
,Guinea,03/23/2020,2,0,0,9.9456,-9.6966
Grand Princess,Canada,03/23/2020,13,0,0,37.6489,-122.6655
,Kenya,03/23/2020,15,0,0,-0.0236,37.9062
,Antigua and Barbuda,03/23/2020,1,0,0,17.0608,-61.7964
Alabama,US,03/23/2020,138,0,0,32.3182,-86.9023
,Uruguay,03/23/2020,135,0,0,-32.5228,-55.7658
,Ghana,03/23/2020,24,1,0,7.9465,-1.0232
Puerto Rico,US,03/23/2020,23,1,0,18.2208,-66.5901
,Namibia,03/23/2020,3,0,0,-22.9576,18.4904
,Seychelles,03/23/2020,7,0,0,-4.6796,55.492
,Trinidad and Tobago,03/23/2020,50,0,1,10.6918,-61.2225
,Venezuela,03/23/2020,70,0,15,6.4238,-66.5897
,Eswatini,03/23/2020,4,0,0,-26.5225,31.4659
,Gabon,03/23/2020,5,1,0,-0.8037,11.6094
,Guatemala,03/23/2020,19,1,0,15.7835,-90.2308
,Mauritania,03/23/2020,2,0,0,21.0079,10.9408
,Rwanda,03/23/2020,19,0,0,-1.9403,29.8739
,Saint Lucia,03/23/2020,2,0,0,13.9094,-60.9789
,Saint Vincent and the Grenadines,03/23/2020,1,0,0,12.9843,-61.2872
,Suriname,03/23/2020,5,0,0,3.9193,-56.0278
French Guiana,France,03/23/2020,0,0,0,3.9339,-53.1258
Guam,US,03/23/2020,27,1,0,13.4443,144.7937
,Kosovo,03/23/2020,2,0,0,42.6026,20.903
Newfoundland and Labrador,Canada,03/23/2020,9,0,0,53.1355,-57.6604
Prince Edward Island,Canada,03/23/2020,3,0,0,46.5107,-63.4168
,Central African Republic,03/23/2020,3,0,0,6.6111,20.9394
,Congo (Brazzaville),03/23/2020,3,0,0,-4.0383,21.7587
